ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Baiap2	15.517317375121	15.5161154790737	15.3770741478099	15.4472185127614	15.8312712575041	15.8102296110504	15.9428893131738	15.9372463510604
BC094916	15.3356623262814	15.3238392614796	15.0969002105606	15.6696050134478	15.4920703842701	15.4822402926009	15.4428005081755	15.4195579892114
Bcl7c	13.4526996894305	13.6052145972499	13.5943202547075	13.5511148361397	13.5977642810107	13.5918029892384	13.7608095987755	13.7373527595689
C2cd5	13.9196861075963	13.9152560309113	14.2143803540621	14.1083494510376	13.8535617822823	13.9331387643843	13.726560486654	13.6852128087439
Camk2d	13.6062080875423	13.5188448646091	13.7561689356406	13.8484378349989	13.8623388649878	13.6731255124314	13.7956286897853	14.0133010799214
Camlg	12.481736046178	12.5512598760147	12.9066578275302	12.9236604618506	12.7556189829884	12.6615115197238	12.9956537601567	13.0637206105579
Canx	17.2015999061505	17.2015999061505	17.2415449238186	17.2015999061505	17.2015999061505	17.2270874933306	17.4979303549228	17.4708969517375
Carhsp1	14.4697451404929	14.4464513850185	14.8154471335322	14.4768852303352	14.9177478971136	14.9128278637408	14.993224796973	15.0498831374818
Ccdc6	15.1809507025396	15.1762496871551	15.6022928523295	15.4244836533239	15.4983869858187	15.4699665426678	15.5473199477959	15.5039327211273
Ccnk	17.5836440036056	17.5173269482826	17.5173269482826	17.2829009624667	17.0648764360976	17.2015999061505	16.849624802727	16.8262074519747
Cdh6	12.891132859528	12.7739891224818	13.5019803438086	13.4067167405779	13.4649567713896	13.2674232456868	13.0997667917449	13.1599375343525
